year	cumulative_intensity	type_of_conflict	incompatibility	region	lag_1_intensity	lag_2_intensity	lag_1_cumulative_intensity	conflict_age	gdp_growth	gdp_per_capita	inflation	internet_users_pct	population	trade_pct_gdp	unemployment	urban_population_pct	electoral_democracy	liberal_democracy	rule_of_law	liberal_component	participatory_component	freedom_expression_altinfo	freedom_association	civil_society_participation	regional_conflict_count	regional_high_intensity_count	regional_avg_intensity	regional_conflict_count_lag1	regional_conflict_growth	country_conflict_count	country_high_intensity_count	country_avg_intensity	country_conflict_count_lag1	country_high_intensity_lag1	country_conflict_growth	previous_conflict_years	previous_high_intensity_years	target_escalation_next_year	actual	predicted_probability	predicted_label	error_type
2023	1	3	1	3	1	1	1	10	5.049023318	4876.307745	3.669386549	69.20836554	281190067	41.33628687	3.308	58.11793534	0.538	0.348	0.683	0.584	0.6	0.725	0.695	0.814	15	0	1	15	0	1	0	1	1	0	0	7	0	0	0	1.43E-06	0	True Negative
2024	1	3	1	3	1	1	1	11	5.030344694	4925.430488	2.181512736	72.78075544	283487931	42.5726473	3.301	58.75096354	0.496	0.332	0.649	0.6	0.59	0.741	0.683	0.779	13	0	1	15	-2	1	0	1	1	0	0	8	0	0	0	8.83E-07	0	True Negative
2011	0	3	2	4				1	5.307924203	2418.41317	10.82613719	13.80000019	171379598		3.77	52.49035242	0.481	0.348	0.608	0.661	0.621	0.891	0.822	0.882	8	0	1	6	2	1	0	1				0	0	0	0	0.09470941619	0	True Negative
2012	1	4	2	4	1		0	2	4.230061175	2633.197347	12.2242413	16.10000038	176200625		3.761	53.3021149	0.506	0.36	0.608	0.657	0.615	0.901	0.808	0.867	8	0	1	8	0	1	0	1	1	0	0	1	0	1	1	0.09315968624	0	False Negative
2016	1	4	2	4	2	2	1	6	-1.616868949	2070.412734	15.69681264	24.13750076	195443700		4.499	56.54103879	0.555	0.395	0.626	0.669	0.616	0.902	0.841	0.871	10	0	1	11	-1	1	0	1	1	0	0	2	0	1	1	0.0710820357	0	False Negative
2018	1	4	2	4	2	1	1	8	1.922757342	2057.879446	12.09510652	27.74370003	204938755		5.069	58.15533475	0.555	0.391	0.634	0.661	0.62	0.888	0.846	0.87	15	0	1	13	2	2	0	1	1	0	1	3	0	0	0	0.01555350858	0	True Negative
2019	1	4	2	4	1	2	1	9	2.208429277	3189.812865	11.39642234	29.74410057	209485641		5.206	58.96111864	0.52	0.36	0.62	0.635	0.619	0.869	0.84	0.865	19	0	1	15	4	1	0	1	2	0	-1	4	0	0	0	0.01493349356	0	True Negative
2020	1	4	2	4	1	1	1	10	-6.368898405	2797.184581	13.24602343	31.88879967	213996181		5.714	59.76596548	0.512	0.349	0.606	0.62	0.609	0.879	0.813	0.835	19	0	1	19	0	1	0	1	1	0	0	5	0	0	0	0.004320641976	0	True Negative
2021	1	4	2	4	1	1	1	11	1.109252539	2787.487792	16.95284572	35.50979996	218529286		5.404	60.56985454	0.488	0.331	0.617	0.61	0.607	0.868	0.746	0.831	18	0	1	19	-1	2	0	1	1	0	1	6	0	0	0	0.001646928152	0	True Negative
2022	1	4	2	4	1	1	1	12	4.318829495	2899.160475	18.84718778	39.14720154	223150896		3.827	61.37276506	0.49	0.321	0.603	0.58	0.606	0.845	0.784	0.822	19	0	1	18	1	2	0	1	2	0	0	7	0	0	0	0.0008781850898	0	True Negative
2023	1	4	2	4	1	1	1	13	3.326845564	2138.763837	24.6595502	40.06399918	227882945		3.074	62.17467632	0.484	0.316	0.656	0.575	0.609	0.892	0.764	0.835	20	0	1	19	1	2	0	1	2	0	0	8	0	0	0	0.0006704589262	0	True Negative
2024	1	4	2	4	1	1	1	14	4.062364089	1084.160418	33.24209665	41.21139908	232679478		3.045	62.97556756	0.499	0.314	0.643	0.554	0.61	0.893	0.793	0.839	20	0	1	20	0	2	0	1	2	0	0	9	0	0	0	0.0005086540183	0	True Negative
2021	1	4	2	2	2	2	1	14									0.136	0.033	0.077	0.082	0.124	0.037	0.045	0.109	7	0	1	5	2	2	0	1	1	0	1	3	0	0	0	0.8870534898	1	False Positive
2022	1	4	2	2	1	2	1	15									0.137	0.031	0.066	0.076	0.118	0.033	0.054	0.101	6	0	1	7	-1	2	0	1	2	0	0	4	0	1	1	0.7995463973	1	True Positive
2021	1	3	1	4	2	2	1	4	1.109252539	2787.487792	16.95284572	35.50979996	218529286		5.404	60.56985454	0.488	0.331	0.617	0.61	0.607	0.868	0.746	0.831	18	0	1	19	-1	2	0	1	1	0	1	0	0	0	0	0.003912149326	0	True Negative
2022	1	3	1	4	1	2	1	5	4.318829495	2899.160475	18.84718778	39.14720154	223150896		3.827	61.37276506	0.49	0.321	0.603	0.58	0.606	0.845	0.784	0.822	19	0	1	18	1	2	0	1	2	0	0	1	0	0	0	0.001125451106	0	True Negative
2023	1	4	1	4	1	1	1	6	3.326845564	2138.763837	24.6595502	40.06399918	227882945		3.074	62.17467632	0.484	0.316	0.656	0.575	0.609	0.892	0.764	0.835	20	0	1	19	1	2	0	1	2	0	0	2	0	0	0	0.0005242840643	0	True Negative
2024	1	3	1	4	1	1	1	7	4.062364089	1084.160418	33.24209665	41.21139908	232679478		3.045	62.97556756	0.499	0.314	0.643	0.554	0.61	0.893	0.793	0.839	20	0	1	20	0	2	0	1	2	0	0	3	0	0	0	0.0003218104923	0	True Negative
2011	1	3	1	3	1	1	1	39	3.858232828	2383.918925	4.718417047	29	98248614	60.7958367	3.592	46.68336325	0.524	0.413	0.712	0.751	0.639	0.882	0.769	0.874	7	0	1	8	-1	2	0	1	2	0	0	35	0	0	0	0.002877393551	0	True Negative
2012	1	3	1	3	1	1	1	40	6.896951711	2614.616444	3.026963911	30.79999924	100175512	57.84200551	3.504	47.91827848	0.524	0.413	0.712	0.751	0.639	0.882	0.769	0.874	7	0	1	7	0	2	0	1	2	0	0	36	0	0	0	0.002105612138	0	True Negative
2013	1	3	1	3	1	1	1	41	6.750531301	2781.279577	2.582687661	32.70000076	102076336	55.82478123	3.497	49.13136888	0.521	0.408	0.705	0.745	0.639	0.882	0.775	0.874	10	0	1	7	3	2	0	1	2	0	0	37	0	0	0	0.00158276073	0	True Negative
2014	1	3	1	3	1	1	1	42	6.347987483	2866.838038	3.597823439	34.70000076	103767130	57.46817209	3.6	50.23924002	0.521	0.408	0.705	0.745	0.639	0.882	0.78	0.874	10	0	1	10	0	2	0	1	2	0	0	38	0	0	0	0.000923133339	0	True Negative
